order_id,customer_id,restaurant_id,order_datetime,item_count,base_amount,discount_amount,tax_amount,delivery_fee,total_amount,delivery_time_min,order_status,payment_method,is_new_customer,customer_city,restaurant_city,rating_given
38,2698,466,2023-11-21 20:00:00,4,267.82,50,13.39,17.25,248.46,75,Cancelled,Card,1,Bengaluru,Bengaluru,NULL
39,2954,400,2023-04-06 21:31:00,5,262.34,0,13.12,55.99,331.45,53,Cancelled,Card,1,Kolkata,Kolkata,NULL
40,2084,433,2023-10-13 19:13:00,3,161.92,30,8.1,69.68,209.7,59,Delivered,Card,0,Mumbai,Mumbai,4
41,2100,135,2023-06-03 23:14:00,5,841.41,75,42.07,63.7,872.18,70,Delivered,Wallet,0,Chennai,Chennai,2.7
42,711,477,2023-05-28 16:28:00,6,387.19,50,19.36,52.41,408.96,27,Delivered,Wallet,0,Jaipur,Chennai,3.2
43,297,435,2023-09-05 23:51:00,8,769.14,20,38.46,78.21,865.81,21,Delivered,Card,0,Bengaluru,Bengaluru,NULL
44,2363,216,2023-06-15 14:43:00,6,564.13,75,28.21,30.89,548.23,47,Delivered,UPI,1,Mumbai,Mumbai,NULL
45,1859,22,2023-01-24 14:28:00,7,359.01,0,17.95,39.23,416.19,54,Delivered,UPI,0,Ahmedabad,Ahmedabad,NULL
46,690,76,2023-11-06 18:01:00,1,986.61,0,49.33,31.78,1067.72,69,Delivered,Wallet,0,Chennai,Chennai,4
47,965,360,2023-07-05 18:12:00,3,1025.2,50,51.26,15.45,1041.91,75,Delivered,Wallet,0,Pune,Pune,NULL
48,1106,130,2023-04-21 18:46:00,4,1135.21,0,56.76,48.39,1240.36,74,Delivered,UPI,0,Bengaluru,Bengaluru,NULL
49,2891,417,2023-05-25 14:01:00,4,802.08,20,40.1,63.63,885.81,22,Delivered,UPI,0,Ahmedabad,Ahmedabad,3.2
50,2995,29,2023-05-19 23:05:00,2,199.8,50,9.99,56.08,215.87,21,Delivered,Card,1,Jaipur,Jaipur,3.2
51,1231,108,2023-06-09 22:20:00,7,673.34,0,33.67,63.91,770.92,39,Delivered,Card,1,Ahmedabad,Ahmedabad,NULL
52,396,373,2023-07-12 14:27:00,2,360.03,50,18,10.53,338.56,55,Delivered,Wallet,0,Ahmedabad,Ahmedabad,2.7
53,1568,494,2023-09-12 21:25:00,6,943.72,0,47.19,55.73,1046.64,48,Delivered,UPI,0,Delhi,Delhi,3.1
54,2358,259,2023-11-26 14:21:00,3,994.46,0,49.72,45.13,1089.31,26,Delivered,Card,0,Ahmedabad,Ahmedabad,2.7
55,1984,108,2023-11-12 23:30:00,4,183.65,75,9.18,63.91,181.74,36,Delivered,Wallet,0,Ahmedabad,Ahmedabad,4.1
56,1355,325,2023-01-03 14:44:00,4,935.44,75,46.77,39.66,946.87,54,Delivered,Card,0,Ahmedabad,Ahmedabad,NULL
57,953,344,2023-02-11 11:27:00,2,525.74,0,26.29,55.52,607.55,30,Delivered,UPI,1,Ahmedabad,Ahmedabad,4.9
58,1784,114,2023-08-06 17:10:00,8,271.05,50,13.55,12.24,246.84,45,Delivered,UPI,0,Lucknow,Lucknow,4.8
59,1419,34,2023-09-25 15:39:00,6,728.92,0,36.45,31.48,796.85,29,Delivered,Card,0,Chennai,Chennai,NULL
60,1510,426,2023-11-06 14:30:00,8,347.47,40,17.37,13.72,338.56,67,Delivered,Card,1,Hyderabad,Hyderabad,NULL
61,1675,311,2023-06-12 16:11:00,3,628.13,0,31.41,58.54,718.08,39,Delivered,Card,0,Bengaluru,Bengaluru,3
62,2656,50,2023-08-28 19:10:00,2,498.49,20,24.92,47.71,551.12,42,Delivered,Card,1,Ahmedabad,Ahmedabad,NULL
63,2270,381,2023-10-27 21:19:00,6,794.46,50,39.72,50.03,834.21,36,Delivered,Card,1,Hyderabad,Lucknow,4.2
64,2640,500,2023-05-15 19:06:00,3,980.64,50,49.03,48.67,1028.34,41,Delivered,Wallet,0,Hyderabad,Hyderabad,NULL
65,1857,307,2023-08-31 13:10:00,1,966.03,20,48.3,71.28,1065.61,25,Cancelled,Card,1,Pune,Pune,NULL
66,1156,408,2023-01-01 15:04:00,1,267.93,75,13.4,14.86,221.19,47,Delivered,Wallet,0,Pune,Pune,NULL
67,2736,372,2023-07-21 16:49:00,7,882.74,40,44.14,23.69,910.57,39,Delivered,Wallet,0,Pune,Pune,NULL
68,2498,272,2023-03-27 20:53:00,5,888.26,50,44.41,56.83,939.5,55,Delivered,Wallet,0,Kolkata,Chennai,3.3
69,934,467,2023-01-13 23:23:00,8,952.4,40,47.62,30.99,991.01,66,Delivered,Card,0,Delhi,Delhi,4.2
70,1393,8,2023-08-15 15:33:00,4,126.06,30,6.3,28.18,130.54,41,Delivered,Wallet,0,Chennai,Chennai,2
71,2791,465,2023-11-28 14:41:00,8,550.16,30,27.51,14.7,562.37,37,Delivered,UPI,0,Chennai,Chennai,NULL
72,1815,179,2023-11-20 17:31:00,3,631.32,0,31.57,36.3,699.19,22,Delivered,Card,0,Jaipur,Chennai,4.6
73,2148,78,2023-03-03 10:28:00,1,459.38,30,22.97,39.54,491.89,74,Delivered,UPI,0,Delhi,Delhi,NULL
74,202,323,2023-12-30 12:57:00,6,677.65,50,33.88,52.29,713.82,46,Delivered,UPI,1,Jaipur,Delhi,NULL
75,1023,48,2023-05-17 11:11:00,8,168.07,20,8.4,55.25,211.72,64,Delivered,Card,0,Ahmedabad,Ahmedabad,NULL
76,774,392,2023-06-09 14:35:00,6,247.13,75,12.36,76.73,261.22,56,Delivered,UPI,0,Chennai,Hyderabad,2.3
77,2178,116,2023-02-14 12:20:00,1,948.06,0,47.4,46.3,1041.76,33,Delivered,COD,1,Hyderabad,Hyderabad,NULL
78,2631,413,2023-12-15 20:57:00,4,927.2,0,46.36,28.18,1001.74,39,Delivered,Wallet,1,Mumbai,Mumbai,2.9
79,789,353,2023-04-07 14:56:00,4,311.28,30,15.56,54.82,351.66,36,Delivered,Wallet,1,Ahmedabad,Ahmedabad,3.1
80,2300,70,2023-09-25 17:53:00,3,159.67,50,7.98,16.71,134.36,29,Delivered,Card,0,Bengaluru,Delhi,3.9
81,2829,372,2023-05-28 13:21:00,5,218.02,20,10.9,23.69,232.61,36,Delivered,Wallet,1,Pune,Pune,4
82,666,69,2023-03-13 17:37:00,6,522.07,50,26.1,14.61,512.78,62,Delivered,UPI,0,Mumbai,Mumbai,3.1
83,290,46,2023-03-23 16:30:00,6,483.61,0,24.18,71.88,579.67,31,Cancelled,Wallet,1,Jaipur,Jaipur,NULL
84,332,304,2023-01-12 17:51:00,8,761.06,50,38.05,44.43,793.54,66,Delivered,Card,1,Kolkata,Kolkata,3
85,2268,299,2023-06-03 10:59:00,4,944.23,0,47.21,69.69,1061.13,46,Delivered,Wallet,0,Lucknow,Lucknow,2.1
86,531,481,2023-06-03 19:44:00,4,1147.61,0,57.38,62.91,1267.9,28,Delivered,UPI,0,Hyderabad,Hyderabad,4.3
87,602,55,2023-08-23 16:10:00,8,120.91,0,6.05,17.77,144.73,32,Cancelled,Wallet,0,Lucknow,Lucknow,NULL
88,951,40,2023-04-15 16:05:00,4,286.47,40,14.32,31.32,292.11,20,Delivered,Wallet,1,Lucknow,Lucknow,3.2
89,1527,216,2023-08-30 20:24:00,8,882.72,0,44.14,30.89,957.75,44,Delivered,Card,0,Mumbai,Mumbai,2.8
90,1007,98,2023-08-06 19:25:00,2,494.62,0,24.73,30.65,550,34,Cancelled,Card,0,Kolkata,Kolkata,NULL
91,2168,180,2023-06-24 18:52:00,1,779.41,50,38.97,33.56,801.94,24,Delivered,Card,0,Jaipur,Jaipur,2.9
92,2310,23,2023-07-16 20:11:00,7,282.81,30,14.14,43.27,310.22,44,Delivered,COD,1,Lucknow,Lucknow,NULL
93,1176,376,2023-03-25 16:43:00,2,622.12,0,31.11,26.93,680.16,42,Delivered,UPI,0,Kolkata,Kolkata,4.4
94,1019,359,2023-03-07 19:32:00,7,861.2,0,43.06,77.59,981.85,51,Delivered,COD,0,Kolkata,Kolkata,3.3
95,650,430,2023-03-01 19:51:00,8,662.23,75,33.11,25.85,646.19,65,Delivered,Wallet,1,Pune,Lucknow,3.3
96,2643,405,2023-12-12 11:09:00,1,484.08,30,24.2,18.35,496.63,32,Delivered,COD,0,Kolkata,Delhi,2.1
97,1524,290,2023-08-24 15:03:00,6,392.51,40,19.63,60.58,432.72,63,Delivered,UPI,0,Ahmedabad,Hyderabad,3.1
98,2031,274,2023-06-16 14:40:00,1,763.44,40,38.17,24.7,786.31,66,Delivered,COD,1,Lucknow,Lucknow,2.3
99,2420,180,2023-11-21 17:27:00,5,493.02,75,24.65,33.56,476.23,64,Delivered,COD,1,Hyderabad,Jaipur,2.1
100,2948,80,2023-11-23 22:56:00,2,532.47,0,26.62,53.13,612.22,41,Cancelled,Wallet,0,Ahmedabad,Ahmedabad,NULL
101,2192,38,2023-05-12 21:41:00,2,1023.8,50,51.19,48.72,1073.71,27,Delivered,Wallet,0,Jaipur,Jaipur,NULL
102,1230,436,2023-05-05 21:51:00,1,524.18,75,26.21,50.82,526.21,33,Delivered,COD,1,Mumbai,Mumbai,NULL
103,315,454,2023-09-14 20:02:00,7,1102.53,30,55.13,66.31,1193.97,37,Delivered,Card,1,Chennai,Chennai,2.4
104,2831,430,2023-11-03 22:40:00,6,224.92,20,11.25,25.85,242.02,21,Delivered,Card,1,Lucknow,Lucknow,4.1
105,1338,457,2023-10-29 16:40:00,6,704.77,75,35.24,45.27,710.28,55,Delivered,Wallet,0,Ahmedabad,Pune,NULL
106,898,104,2023-09-13 13:34:00,3,846.82,30,42.34,79.89,939.05,45,Delivered,UPI,0,Kolkata,Kolkata,3
107,1385,4,2023-09-29 15:19:00,5,930.93,75,46.55,58.82,961.3,63,Delivered,Card,0,Lucknow,Lucknow,3.1
108,80,101,2023-01-12 22:18:00,8,1188.85,50,59.44,35.14,1233.43,54,Delivered,UPI,1,Delhi,Delhi,5
109,863,326,2023-04-02 23:10:00,7,714.08,40,35.7,62.02,771.8,68,Delivered,Wallet,0,Bengaluru,Bengaluru,2.3
110,2598,145,2023-11-21 22:40:00,6,662.49,50,33.12,36.77,682.38,34,Cancelled,COD,0,Pune,Ahmedabad,NULL
111,1232,367,2023-08-19 12:59:00,3,552.06,0,27.6,17.94,597.6,54,Delivered,COD,0,Kolkata,Kolkata,NULL
112,2878,373,2023-10-25 20:26:00,7,563.12,0,28.16,10.53,601.81,59,Delivered,UPI,0,Ahmedabad,Ahmedabad,NULL
113,2848,346,2023-06-16 19:15:00,3,734.85,75,36.74,36.16,732.75,63,Delivered,Wallet,1,Bengaluru,Lucknow,NULL
114,44,480,2023-07-19 18:32:00,4,1038.33,0,51.92,32.66,1122.91,49,Delivered,Card,1,Lucknow,Bengaluru,NULL
115,2213,258,2023-06-15 12:18:00,2,1086,20,54.3,18.32,1138.62,56,Delivered,Card,0,Chennai,Kolkata,2.7
116,202,225,2023-08-25 18:41:00,2,987.98,40,49.4,19.92,1017.3,75,Cancelled,Card,1,Jaipur,Jaipur,NULL
117,243,319,2023-02-05 10:47:00,1,856.59,50,42.83,43.38,892.8,75,Delivered,COD,0,Kolkata,Delhi,3.3
118,125,290,2023-10-03 11:45:00,1,593.6,0,29.68,60.58,683.86,38,Delivered,UPI,0,Hyderabad,Hyderabad,NULL
119,1229,492,2023-11-29 17:27:00,2,231.91,30,11.6,77.77,291.28,68,Delivered,UPI,0,Chennai,Chennai,4
120,69,268,2023-05-05 22:30:00,4,405.67,40,20.28,55.07,441.02,61,Delivered,COD,0,Hyderabad,Hyderabad,2.7
121,2744,214,2023-06-01 21:28:00,6,970.36,30,48.52,44.25,1033.13,56,Delivered,UPI,0,Ahmedabad,Ahmedabad,2.9
122,2842,444,2023-07-09 19:23:00,5,451.2,0,22.56,72.16,545.92,56,Delivered,COD,0,Chennai,Chennai,NULL
123,56,181,2023-12-22 12:09:00,5,1047.88,30,52.39,52.76,1123.03,60,Delivered,Card,0,Kolkata,Kolkata,2
124,356,107,2023-09-18 21:55:00,7,635.13,0,31.76,60.58,727.47,42,Delivered,Wallet,0,Hyderabad,Hyderabad,4.8
125,907,159,2023-09-26 17:11:00,8,1088.9,0,54.45,51.66,1195.01,62,Cancelled,Wallet,1,Ahmedabad,Ahmedabad,NULL
126,2869,110,2023-03-18 14:38:00,2,822,40,41.1,33.79,856.89,51,Delivered,UPI,0,Lucknow,Lucknow,NULL
127,2047,9,2023-09-26 13:47:00,4,512.65,0,25.63,41.41,579.69,45,Delivered,Wallet,0,Chennai,Jaipur,4.9
128,2817,31,2023-10-03 23:05:00,1,602.36,20,30.12,51.22,663.7,35,Delivered,Card,0,Bengaluru,Lucknow,NULL
129,2109,102,2023-12-20 21:29:00,3,163.45,30,8.17,65.01,206.63,55,Delivered,Card,0,Mumbai,Mumbai,NULL
130,592,157,2023-03-09 18:19:00,1,344.35,20,17.22,37.88,379.45,57,Delivered,COD,0,Bengaluru,Hyderabad,4.3
131,943,210,2023-11-21 11:12:00,8,245.72,0,12.29,76.15,334.16,50,Delivered,Card,0,Bengaluru,Bengaluru,2
132,2234,450,2023-02-27 21:56:00,8,959.59,20,47.98,71.51,1059.08,57,Delivered,COD,0,Pune,Pune,3.2
133,2991,316,2023-11-20 12:21:00,8,675.34,30,33.77,69.41,748.52,36,Cancelled,Card,0,Ahmedabad,Ahmedabad,NULL
134,655,320,2023-09-15 14:40:00,8,240.39,0,12.02,27.15,279.56,51,Delivered,COD,0,Lucknow,Lucknow,4.3
135,194,280,2023-02-18 23:28:00,6,808.91,0,40.45,65.61,914.97,32,Delivered,Card,1,Chennai,Chennai,3
136,2986,425,2023-02-22 20:19:00,4,736.69,0,36.83,34.81,808.33,40,Delivered,COD,0,Ahmedabad,Ahmedabad,NULL
137,70,447,2023-03-22 15:33:00,8,825.77,50,41.29,53.67,870.73,69,Delivered,Card,0,Delhi,Delhi,4.6
138,9,100,2023-03-16 14:21:00,6,1015.57,40,50.78,29.11,1055.46,48,Delivered,COD,0,Ahmedabad,Ahmedabad,4.8
139,1966,302,2023-07-29 15:41:00,3,1172.98,30,58.65,45.81,1247.44,21,Delivered,Card,1,Mumbai,Mumbai,NULL
140,1349,160,2023-07-11 10:20:00,7,974.19,40,48.71,41.75,1024.65,55,Delivered,Card,0,Bengaluru,Bengaluru,NULL
141,1008,463,2023-05-21 11:04:00,4,293.25,75,14.66,59.11,292.02,66,Delivered,UPI,0,Lucknow,Lucknow,4.9
142,1920,178,2023-05-08 14:38:00,7,184.06,0,9.2,10.67,203.93,60,Delivered,Wallet,0,Bengaluru,Delhi,3.4
143,585,374,2023-02-07 15:49:00,7,1010.26,0,50.51,31.52,1092.29,57,Delivered,Card,0,Jaipur,Kolkata,3
144,572,179,2023-12-05 14:35:00,5,864.74,0,43.24,36.3,944.28,69,Delivered,Wallet,0,Chennai,Chennai,4.3
145,1574,59,2023-04-20 12:20:00,8,365.9,40,18.29,10.14,354.33,41,Delivered,Wallet,1,Pune,Delhi,NULL
146,1803,379,2023-03-03 20:26:00,7,548.01,75,27.4,68.61,569.02,71,Delivered,UPI,0,Bengaluru,Bengaluru,2
147,1840,235,2023-01-17 18:55:00,6,973.35,75,48.67,48.61,995.63,38,Delivered,UPI,0,Chennai,Chennai,4.9
148,1195,474,2023-09-30 12:51:00,2,739.84,75,36.99,35.04,736.87,59,Delivered,Card,0,Pune,Kolkata,NULL
149,282,435,2023-05-22 17:28:00,3,822.48,0,41.12,78.21,941.81,31,Delivered,Wallet,0,Bengaluru,Bengaluru,NULL
150,1633,260,2023-08-10 10:25:00,5,126.86,50,6.34,20.89,104.09,21,Delivered,Wallet,0,Kolkata,Pune,2.7
151,2003,251,2023-06-17 18:29:00,4,951.52,40,47.58,33,992.1,65,Cancelled,Card,1,Lucknow,Lucknow,NULL
152,1982,490,2023-06-07 12:06:00,1,696.1,0,34.8,17.06,747.96,69,Delivered,Wallet,0,Pune,Pune,2.9
153,2109,439,2023-04-17 13:19:00,3,578.23,30,28.91,79.29,656.43,34,Cancelled,Card,0,Mumbai,Mumbai,NULL
154,2389,241,2023-08-14 11:53:00,7,147.46,20,7.37,69.17,204,44,Delivered,COD,0,Hyderabad,Hyderabad,3.1
155,2618,91,2023-02-17 12:32:00,2,295.91,20,14.8,65.27,355.98,27,Cancelled,Wallet,0,Jaipur,Hyderabad,NULL
156,1206,44,2023-04-08 13:05:00,6,636.22,0,31.81,13.18,681.21,49,Delivered,COD,0,Chennai,Chennai,4.6
157,2134,326,2023-06-08 23:04:00,7,1141.62,30,57.08,62.02,1230.72,34,Refunded,UPI,0,Bengaluru,Bengaluru,NULL
158,2812,218,2023-08-30 10:17:00,6,169,20,8.45,14.48,171.93,31,Delivered,Card,0,Pune,Delhi,3.4
159,2001,110,2023-11-02 22:13:00,5,521.44,50,26.07,33.79,531.3,72,Delivered,Card,1,Lucknow,Lucknow,2.5
160,2506,423,2023-12-09 12:23:00,2,969.48,0,48.47,20.31,1038.26,51,Delivered,COD,0,Kolkata,Chennai,NULL
161,1860,339,2023-06-14 10:50:00,1,478.11,75,23.91,12.8,439.82,22,Delivered,Card,0,Bengaluru,Bengaluru,3.1
162,206,22,2023-09-26 12:10:00,2,136.13,20,6.81,39.23,162.17,25,Delivered,UPI,1,Ahmedabad,Ahmedabad,5
163,1790,393,2023-10-02 17:08:00,1,456.35,75,22.82,40.52,444.69,36,Delivered,Wallet,0,Hyderabad,Kolkata,NULL
164,828,120,2023-09-10 21:53:00,4,255.9,0,12.79,41.2,309.89,71,Cancelled,Card,0,Jaipur,Jaipur,NULL
165,30,336,2023-07-26 14:56:00,2,389.76,30,19.49,57.77,437.02,31,Delivered,Wallet,0,Kolkata,Pune,NULL
166,2840,233,2023-09-24 18:36:00,5,940.69,0,47.03,29.16,1016.88,40,Delivered,Card,0,Kolkata,Kolkata,NULL
167,483,409,2023-07-17 20:03:00,4,1177.89,0,58.89,38.02,1274.8,29,Delivered,Card,1,Mumbai,Mumbai,3.7
168,2516,180,2023-06-26 13:40:00,7,608.27,20,30.41,33.56,652.24,49,Delivered,COD,1,Jaipur,Jaipur,4.3
169,122,219,2023-06-22 12:16:00,6,991.55,75,49.58,22.65,988.78,69,Delivered,UPI,0,Mumbai,Lucknow,3.6
170,2367,485,2023-07-07 16:41:00,1,1161.93,0,58.1,40.38,1260.41,26,Delivered,COD,0,Ahmedabad,Ahmedabad,4.1
171,1555,11,2023-06-27 14:28:00,7,717.56,0,35.88,17.37,770.81,75,Refunded,Card,0,Chennai,Chennai,NULL
172,440,54,2023-09-19 13:09:00,4,957.98,20,47.9,73.32,1059.2,66,Delivered,Card,0,Kolkata,Hyderabad,2.1
173,206,406,2023-10-04 13:44:00,3,524.43,0,26.22,50.35,601,63,Delivered,Card,0,Ahmedabad,Ahmedabad,NULL
174,184,178,2023-11-09 16:54:00,4,420.7,50,21.03,10.67,402.4,38,Delivered,COD,0,Delhi,Delhi,2.4
175,447,74,2023-01-01 11:16:00,5,345.46,0,17.27,43.7,406.43,23,Delivered,Card,1,Chennai,Hyderabad,NULL
176,2811,396,2023-05-05 16:50:00,3,817.77,50,40.89,67.11,875.77,57,Delivered,Wallet,1,Pune,Ahmedabad,NULL
177,1622,467,2023-07-25 11:46:00,3,342.3,0,17.11,30.99,390.4,63,Delivered,Wallet,1,Delhi,Delhi,2.9
178,2409,17,2023-11-18 19:30:00,4,833.26,30,41.66,62.25,907.17,72,Delivered,COD,1,Jaipur,Jaipur,NULL
179,2138,154,2023-06-24 14:02:00,7,1025.02,30,51.25,26.54,1072.81,27,Delivered,COD,0,Lucknow,Bengaluru,NULL
180,2867,455,2023-09-07 22:18:00,4,684.67,0,34.23,31.07,749.97,66,Delivered,Wallet,1,Bengaluru,Bengaluru,NULL
181,1101,213,2023-12-26 16:26:00,1,809.1,30,40.46,29.27,848.83,73,Delivered,Wallet,0,Lucknow,Lucknow,NULL
182,2436,243,2023-12-08 23:16:00,6,209.74,0,10.49,57.39,277.62,65,Delivered,Card,0,Chennai,Chennai,3.3
183,146,108,2023-12-29 17:35:00,7,775.16,50,38.76,63.91,827.83,22,Delivered,UPI,0,Ahmedabad,Ahmedabad,4.3
184,2291,368,2023-12-11 21:57:00,7,1000.51,0,50.03,47.99,1098.53,42,Delivered,COD,0,Bengaluru,Bengaluru,3.6
185,2634,276,2023-11-18 21:49:00,7,842.59,0,42.13,31.1,915.82,33,Delivered,UPI,0,Hyderabad,Hyderabad,2.9
186,330,322,2023-01-15 21:29:00,5,507.28,40,25.36,64.7,557.34,42,Refunded,Card,1,Jaipur,Jaipur,NULL
187,237,460,2023-06-16 17:44:00,5,950.1,0,47.51,13.75,1011.36,33,Delivered,Wallet,0,Chennai,Lucknow,NULL
188,2521,445,2023-03-30 23:31:00,2,480.46,20,24.02,50.57,535.05,40,Delivered,UPI,0,Bengaluru,Pune,3.2
189,1501,284,2023-11-24 12:48:00,7,338.32,75,16.92,30.75,310.99,42,Delivered,COD,0,Jaipur,Jaipur,NULL
190,715,75,2023-06-15 10:07:00,4,748.39,30,37.42,14.23,770.04,68,Delivered,Card,0,Chennai,Lucknow,NULL
191,1822,240,2023-02-16 21:38:00,7,1040.39,0,52.02,46.44,1138.85,65,Delivered,Wallet,0,Kolkata,Kolkata,NULL
192,1674,295,2023-05-31 19:36:00,2,469.74,20,23.49,14.86,488.09,48,Delivered,Card,0,Delhi,Delhi,NULL
193,77,169,2023-09-11 13:53:00,4,384.98,20,19.25,71.32,455.55,48,Delivered,Card,1,Pune,Pune,4.9
194,1518,67,2023-09-05 23:28:00,7,720.83,20,36.04,53.77,790.64,46,Delivered,COD,0,Pune,Jaipur,NULL
195,1496,262,2023-05-14 21:50:00,6,987.7,30,49.39,15.78,1022.87,47,Delivered,Card,0,Lucknow,Lucknow,4.9
196,28,6,2023-12-26 13:50:00,3,224.35,75,11.22,46.49,207.06,54,Delivered,Card,0,Bengaluru,Bengaluru,NULL
197,2617,234,2023-10-11 23:14:00,8,410.66,0,20.53,22.3,453.49,49,Delivered,COD,0,Mumbai,Mumbai,5
198,2391,451,2023-08-18 18:41:00,1,1087.51,75,54.38,79.71,1146.6,75,Delivered,UPI,0,Jaipur,Jaipur,4.2
199,123,210,2023-01-15 21:38:00,8,585.3,0,29.26,76.15,690.71,45,Delivered,COD,0,Bengaluru,Bengaluru,NULL
200,502,268,2023-04-30 19:51:00,7,275.77,40,13.79,55.07,304.63,75,Delivered,UPI,0,Hyderabad,Hyderabad,2.4
